type,models,weights,roc_auc
rank_average,XGB_G+XGB_A+XGB_F,equal,0.9448345989426488
pair,XGB_G+XGB_B,"[0.8, 0.2]",0.944834451096366
triple,XGB_G+XGB_E+XGB_F,"[0.5, 0.25, 0.25]",0.9448338449630708
triple,XGB_G+XGB_D+XGB_B,"[0.7, 0.15, 0.15]",0.9448336708943799
triple,XGB_G+XGB_E+XGB_C,"[0.6, 0.2, 0.2]",0.944832654209716
pair,XGB_G+XGB_C,"[0.75, 0.25]",0.9448321520195648
quad,XGB_G+XGB_A+XGB_B+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.9448314198868216
triple,XGB_G+XGB_H+XGB_F,"[0.6, 0.2, 0.2]",0.9448314015699265
triple,XGB_G+XGB_A+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9448311774536744
pair,XGB_G+XGB_B,"[0.75, 0.25]",0.9448311516502043
triple,XGB_G+XGB_E+XGB_D,"[0.5, 0.3, 0.2]",0.944830849045164
quad,XGB_G+XGB_A+XGB_D+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9448298040899511
triple,XGB_G+XGB_E+XGB_D,"[0.5, 0.25, 0.25]",0.9448281600380479
pair,XGB_G+XGB_H,"[0.7, 0.3]",0.9448279969470812
pair,XGB_G+XGB_D,"[0.8, 0.2]",0.9448278218000132
quad,XGB_G+XGB_E+XGB_D+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9448277401381582
triple,XGB_G+XGB_D+XGB_F,"[0.5, 0.25, 0.25]",0.9448268430059538
quad,XGB_G+XGB_E+XGB_D+XGB_B,"[0.5, 0.2, 0.15, 0.15]",0.9448268326411201
rank_average,XGB_G+XGB_E,equal,0.9448264188778946
quad,XGB_G+XGB_A+XGB_D+XGB_B,"[0.35, 0.3, 0.2, 0.15]",0.9448262741814044
pair,XGB_G+XGB_D,"[0.75, 0.25]",0.9448261118274579
triple,XGB_G+XGB_D+XGB_F,"[0.5, 0.3, 0.2]",0.9448260006847892
pair,XGB_G+XGB_F,"[0.6, 0.4]",0.944825794575108
triple,XGB_G+XGB_F+XGB_C,"[0.6, 0.2, 0.2]",0.9448255567580359
triple,XGB_G+XGB_D+XGB_H,"[0.6, 0.2, 0.2]",0.9448253170091945
pair,XGB_G+XGB_B,"[0.7, 0.3]",0.9448248095280125
pair,XGB_G+XGB_E,"[0.5, 0.5]",0.9448244318244777
triple,XGB_G+XGB_D+XGB_C,"[0.6, 0.2, 0.2]",0.9448241961486435
triple,XGB_G+XGB_D+XGB_B,"[0.6, 0.2, 0.2]",0.9448237164337336
triple,XGB_G+XGB_E+XGB_H,"[0.5, 0.3, 0.2]",0.9448226952416087
pair,XGB_G+XGB_D,"[0.7, 0.3]",0.944822447990676
triple,XGB_G+XGB_A+XGB_D,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9448215528445474
pair,XGB_G+XGB_C,"[0.7, 0.3]",0.9448215305865327
triple,XGB_G+XGB_E+XGB_B,"[0.5, 0.3, 0.2]",0.9448213534999376
rank_average,XGB_G+XGB_A+XGB_D,equal,0.9448212292538225
quad,XGB_G+XGB_E+XGB_B+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9448193719935685
triple,XGB_G+XGB_B+XGB_H,"[0.6, 0.2, 0.2]",0.9448192967166373
quad,XGB_G+XGB_A+XGB_B+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.944818478561982
triple,XGB_G+XGB_E+XGB_H,"[0.5, 0.25, 0.25]",0.9448178073769429
triple,XGB_G+XGB_E+XGB_B,"[0.5, 0.25, 0.25]",0.9448165287862786
rank_average,XGB_G+XGB_A+XGB_E+XGB_D,equal,0.944815825583524
quad,XGB_G+XGB_A+XGB_E+XGB_D,"[0.25, 0.25, 0.25, 0.25]",0.9448154652116045
triple,XGB_G+XGB_E+XGB_C,"[0.5, 0.3, 0.2]",0.9448150165834371
triple,XGB_G+XGB_B+XGB_C,"[0.6, 0.2, 0.2]",0.9448148726317254
rank_average,XGB_G+XGB_A+XGB_E+XGB_F,equal,0.9448142738453592
triple,XGB_G+XGB_H+XGB_C,"[0.6, 0.2, 0.2]",0.9448142736746808
rank_average,XGB_G+XGB_A+XGB_H,equal,0.9448128085790769
triple,XGB_G+XGB_A+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9448125612738375
rank_average,XGB_G+XGB_A+XGB_D+XGB_F,equal,0.9448117883722319
quad,XGB_G+XGB_D+XGB_B+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9448117433984742
triple,XGB_G+XGB_B+XGB_F,"[0.5, 0.25, 0.25]",0.944811515977268
quad,XGB_G+XGB_E+XGB_D+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.9448112425737497
quad,XGB_G+XGB_E+XGB_D+XGB_B,"[0.4, 0.3, 0.2, 0.1]",0.9448109323036981
pair,XGB_G+XGB_D,"[0.6, 0.4]",0.9448095537342835
triple,XGB_G+XGB_B+XGB_F,"[0.5, 0.3, 0.2]",0.944808661016443
triple,XGB_G+XGB_D+XGB_H,"[0.5, 0.3, 0.2]",0.9448075590158549
triple,XGB_G+XGB_E+XGB_C,"[0.5, 0.25, 0.25]",0.9448069906257597
triple,XGB_G+XGB_D+XGB_B,"[0.5, 0.3, 0.2]",0.9448069083665304
rank_average,XGB_G+XGB_A+XGB_B,equal,0.9448064080228088
triple,XGB_G+XGB_D+XGB_H,"[0.5, 0.25, 0.25]",0.9448062974930304
triple,XGB_G+XGB_D+XGB_C,"[0.5, 0.3, 0.2]",0.9448059850429499
triple,XGB_G+XGB_D+XGB_B,"[0.5, 0.25, 0.25]",0.9448058706030845
triple,XGB_G+XGB_A+XGB_B,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.944805532667616
pair,XGB_G+XGB_H,"[0.6, 0.4]",0.94480393355068
rank_average,XGB_G+XGB_A+XGB_C,equal,0.9448033794277471
pair,XGB_G+XGB_B,"[0.6, 0.4]",0.9448025120789227
triple,XGB_G+XGB_D+XGB_C,"[0.5, 0.25, 0.25]",0.9448019062869842
triple,XGB_G+XGB_A+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9448000190106068
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_F,equal,0.9447999894211793
triple,XGB_G+XGB_H+XGB_F,"[0.5, 0.25, 0.25]",0.9447994349956802
rank_average,XGB_G+XGB_A+XGB_E+XGB_H,equal,0.9447984992746415
quad,XGB_G+XGB_A+XGB_E+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9447981986168866
triple,XGB_G+XGB_H+XGB_F,"[0.5, 0.3, 0.2]",0.9447968216611586
quad,XGB_G+XGB_E+XGB_D+XGB_B,"[0.35, 0.3, 0.2, 0.15]",0.9447960353302665
